id,english,tigrinya,domain
20,"For example, the measles vaccine is not usually recommended for babies younger than 9-12 months.",?????? ???? ??? ?????? ?? ??? 9-12 ??? ??????? ???? ???? ???????,medical
21,"Very young babies who get measles are likely to be seriously ill, often requiring hospitalization.",??? ??? ???? ???? ???? ???? ??? ???? ??? ?????? ?? ?? ?? ????? ???? ??????,medical
22,"Other people at high risk of contracting disease are those with weaker immune systems, due to other existing diseases or medications they are taking (such as some people with cancer, autoimmune diseases or transplant recipients).",???? ?? ??? ??? ??? ?? ????  ??? ???? ???? ???? ???? ???? ?? ???? ??? ?????? (?? ?? ???? ???? ???? ???? ??? ???-????? ??? ?? ??? ??? ?????) ???? ???? ????? ???? ????,medical
23,1,1,medical
24,Before an outbreak of a vaccine- preventable disease occurs in your community,?? ???????? ???? ???? ????? ???? ??? ??? ????,medical
25,Ensure that your child is adequately immunized for his or her age according to the routine immunization schedule.,????? ????? ??? ??? ???? ?? ???? ?? ???? ??? ???? ?? ???? ?? ???? ??????,medical
26,Talk to your child’s doctor or nurse to be sure your child’s medical and immunization records are up to date regarding vaccination status.,?? ????? ?? ????? ?? ???? ???? ???? ?? ???? ???? ???? ??? ?????? ?? ?? ????? ??? ?? ??? ??????,medical
27,Ask for a copy of the updated record.,??? ??’? ?????? ???? ????,medical
28,"Keep your child’s school, childcare facility and other caregivers updated on your child’s vaccination status.",?? ????? ?????? ???? ????? ???? ????? ???? ???? ???? ????? ???? ???,medical
29,Be aware that unimmunized children can catch diseases from people who don’t have any symptoms.,??? ?????? ???? ???? ??? ????? ????? ??? ???? ??? ?? ???? ???????,medical
30,You cannot tell who is contagious.,?? ???? ??? ????? ??????? ????,medical
31,Communities depend on high immunization coverage to keep vaccine-preventable diseases from spreading.,??????? ????? ????? ???? ???? ????? ?? ??? ??? ???? ??????,medical
32,"The more parents who choose not to vaccinate their children, the greater the risk of spreading diseases.",??? ????? ???? ??? ????? ???? ???? ?? ?????? ????? ????,medical
33,You put not only your child but also your community at risk when you decide not to vaccinate.,???? ?????? ?? ?????? ?????? ??? ????? ????????? ??? ?? ??? ???? ????,medical
34,When there is vaccine-preventable disease in your community,?? ???????? ???? ????? ???? ??? ?? ???,medical
35,It may not be too late to get protection by getting vaccinated.,????? ????? ????? ???? ???? ?????? ???? ???,medical
36,Ask your child’s doctor.,???? ????? ????,medical
37,"If there are cases (or, in some circumstances, a single case) of a vaccine-preventable disease in your community, you may be asked to take your child out of school, childcare or organized activities (for example, playgroups or sports).",?? ???????? ???? ????? ???? ??? ???? ??? (?? ?? ?? ???? ?? ????) ???????? ?????? ?? ?? ?????? ???? ???? ?? ????? ????? (?????? ????? ??? ?? ????) ?????? ????? ???? ????,medical
38,"Your school, childcare facility or other institution will tell you when it is safe for an unvaccinated child to re- turn.",?? ???????? ???? ???? ?? ??? ?????? ?????? ??? ??? ???? ??? ??? ?????? ???,medical
39,Be prepared to keep your child home for several days or up to several weeks.,?????? ????? ????? ?? ??? ???? ???? ?? ?? ?????? ??? ???,medical
40,Learn about the disease and how it is spread.,???? ?? ???? ???? ?? ????? ????,medical
41,It may not be possible to avoid exposure.,?? ???? ???? ????? ???? ???? ???,medical
42,"Each disease is different, and the time between when your child might have been exposed to a disease and when he or she may get sick will vary.",??? ??? ??? ????? ??? ????? ??? ??? ???? ???? ???? ??? ???? ???? ?? ????? ???? ??? ?? ???? ???,medical
43,Talk with your child’s doctor to get their guidelines for determining when your child is no longer at risk of coming down with the disease.,????? ??? ?? ?? ??? ?? ???? ??? ?? ????? ????? ???? ??????? ????? ?? ??? ????? ??????,medical
44,BE WARE,?????,medical
45,Any vaccine-preventable disease can appear at any time in the European Region because all of these diseases still circulate either here or elsewhere in the world.,??? ???? ????? ???? ??? ?? ?? ???? ?? ??? ??? ??? ???? ??? ????? ??? ??? ???? ??? ?? ??? ?? ?? ??? ???? ??? ????? ??????,medical
46,"Sometimes vaccine-preventable diseases cause clusters of cases and outbreaks, i.e. an increased number of cases in a given time and area.",?? ?? ?? ????? ????? ???? ???? ?????? ????? ?????? ????? ??? ?? ????? ??? ???? ??? ???? ?????,medical
47,"For some diseases, one case is enough to cause concern in a community.",??? ????? ?? ???? ?? ?? ?????? ???? ????? ??? ???,medical
48,"An example is measles, which is one of the most contagious diseases known.",???? ??? ??? ??? ???? ?? ???? ????? ??? ???? ????? ???? ???,medical
49,This disease spreads quickly among people who are not immune.,?? ??? ?? ???? ?? ????? ??? ????? ??? ????? ?????,medical
50,"In most cases, there is no way to know beforehand how severe diseases will be in your child.",?? ?????? ??????? ?? ??? ?? ????? ??? ???? ??? ?????? ????? ????? ???? ???? ????,medical
51,"Learn more by asking your health care provider for the sheet titled “Vaccine- preventable diseases: signs, symptoms & complications”",???? ???? ????? “????? ????? ???? ????? ?????? ?????? ?????” ??? ????? ??? ???? ????? ??? ????,medical
52,2,2,medical
53,If you know your child is exposed to a vaccine-preventable disease for which he or she has not been vaccinated,????? ????? ????? ???? ??? ?? ????? ????????? ??? ??? ???? ??????? ?? ???????,medical
54,Learn the early signs and symptoms of the disease.,?? ????? ?????? ????? ??? ???? ????,medical
55,Seek immediate medical help if your child or any family members develop early signs or symptoms of the disease.,????? ?? ??? ??? ??????? ?? ????? ????? ?? ????? ??'? ??? ????? ?????? ???? ????? ??? ????,medical
56,IMPORTANT:,???? ?????,medical
57,"Notify your doctor, local medical facility, ambulance or emergency room personnel that your child has not been fully vaccinated before medical staff have contact with your child or your family members.",??????? ???? ?? ????? ?? ???? ??????? ??? ??? ?????? ??????? ?? ????? ???? ??? ????? ?????? ?? ??????? ??? ??? ???? ????? ??? ???? ???????? ?????,medical
58,They need to know that your child may have a vaccine-preventable disease so that they can treat your child correctly as quickly as possible.,???? ?????? ?????? ??? ????? ????? ?????? ????? ???? ????? ???? ??? ???? ?? ???? ???? ?????,medical
59,Medical staff also can take simple precautions to prevent diseases from spreading to others if they know ahead of time that their patient may have a contagious disease.,??????? ???? ??? ???? ???? ??? ???? ?????? ????? ???????? ???? ?? ???? ????? ???? ?????? ???? ???? ????,medical
60,If you travel with your child,?? ????? ?????????,medical
61,Review the WHO travellers’ information website (www.who.int/topics/travel) before travelling to learn about possible disease risks and vaccines that will protect your family.,??? ?????? ???? ???? ???? ????? ????? ???????? ????? ?????? ????? ?? ???? ???? (www.who.int/topics/travel) ?? WHO ???? ????? ????,medical
62,Diseases that vaccines prevent remain common throughout the world.,???? ??????? ???? ?? ??? ??? ???? ???? ???? ????,medical
63,http://www.who.int/topics/travel),http://www.who.int/topics/travel),medical
64,"If you are aware that you or your child have a vaccine-preventable disease, do not spread disease to others.",???? ?? ????? ???? ????? ???? ??? ?? ???? ????????? ?? ???? ??? ?????????,medical
65,"Do not travel in such condition, as you or other family members could still be infectious.",???? ?? ???? ???? ????? ?? ???? ??? ???? ???? ???????? ?? ??? ???? ???????,medical
66,"If an unimmunized person develops a vaccine-preventable disease while travelling, to prevent transmission to others, he or she should not travel by a plane, train or bus until a doctor determines the person is no longer contagious.",?? ?????? ?? ???? ????? ???? ??? ?? ????? ??? ????? ?????? ?? ???? ???????? ?? ?? ??? ??? ???? ??? ?????? ??? ??? ????? ?????? ??? ?? ????? ???? ???? ?? ?????,medical
67,"In certain instances, public health authorities may prevent you from travelling, due to the risk of disease spreading.",?? ????? ??????? ?????? ???? ??? ???? ??? ?????? ??? ?? ???? ??????? ???? ????,medical
68,Check your own status,?? ??? ????? ???? ????,medical
69,"Make sure to check your own immunization status, as you are putting your child at risk of disease when you are not fully vaccinated.",??? ???? ?? ??????? ??? ?????? ?? ??? ??? ?? ??????? ?? ??? ????? ?? ???? ???? ??????? ??????,medical
70,"Follow recommendations to isolate your child from others, including family members, and especially infants and people with weakened immune systems.",?????? ?? ???? ???? ????? ?? ???? ?????? ???? ?? ?? ????? ??? ?? ?????  ???? ???? ???? ????? ???? ????? ?????,medical
71,"For more information on vaccines, visit:",???? ????? ???? ???? ?????? ??? ???? ???? ???? ?????,medical
72,<3680>www.euro.who.int/vaccine/resourcecentre</3680>,<3680>www.euro.who.int/vaccine/resourcecentre</3680>,medical
73,http://www.euro.who.int/vaccine/resourcecentre,http://www.euro.who.int/vaccine/resourcecentre,medical
74,"Be aware that for some vaccine-preventable diseases, there are medicines to treat infected people and medicines to keep people they come in contact with from getting the disease.",??? ????? ????? ???? ????? ?????? ??? ???? ??????? ?????? ??? ?? ?? ??? ????? ???? ??????? ????? ???????,medical
75,Ask your healthcare provider about other ways to protect your family members and anyone else who may come into contact with your child.,????? ???????? ?? ????? ???? ???? ??? ??? ??? ??????? ???? ????? ???? ????? ???? ???? ????? ????,medical
76,Your family may be contacted by the state or local health department that tracks infectious disease out- breaks in the community.,??????? ?? ??? ?????? ????? ??? ???? ??? ????? ??? ??? ??? ???? ?? ??? ??? ????? ?????,medical
77,© World Health Organization 2012,© World Health Organization 2012,medical
78,3,3,medical
79,Patient Label,???? ????,medical
80,General Consent for Professional/Clinic,???? ???? ???? ??/????,medical
81,AUTHORIZATION FOR TREATMENT:,?? ???? ????,medical
82,"I authorize this Clinic and/or its associated entities; Physicians and Advanced Practice Providers, (collectively, “Providers’}; and their agents and employees to provide me with medical, mental health, and surgical care.",?? ?????/?? ?? ??? ?????? ????? ??????? ????? ???? ????? ???? (?????? “???? ??????’)? ???’?? ?????? ????????? ?????? ??? ????? ?????? ????? ??????,medical
83,"This may include: tests, exams, procedures, drugs, and any other necessary treatment.",?? ??? ??????? ?????? ?????? ??????? ???'?? ??? ??? ???? ???? ????? ?????,medical
84,I understand and agree that my care may be provided through a virtual visit or telehealth.,????? ????? ???? ?? telehealth ???? ?? ???? ????? ??????? ???,medical
85,I agree that no one can guarantee results or cures.,???? ?? ??? ????? ??? ???? ?? ????? ????? ???,medical
86,"I understand Providers are part of a teaching environment, and at times, students, residents, and fellows may be involved in my care.",???? ?????? ?? ?? ?? ???? ???? ??? ???? ????? ??? ?? ?? ???? ??? ????? ????? ?????? ?? ????? ???? ?????,medical
87,I attest that I have the legal right to consent to treatment for this patient.,?? ???? ?? ????? ?? ???? ??? ??? ?? ??? ??????,medical
88,ASSIGNMENT OF BENEFITS & PAYMENT RESPONSIBILITY:,????? ?????? ????? ??????,medical
89,"I give Providers permission to give my medical records and information to insurance providers or other third-party payers to receive payment for services, care, or treatment (collectively referred to as “health services”) provided by Providers.","????? ?????? ?? ???? ?????? ?????? ????? ????? ?? ???? ???? ??? ???? ????? ?????? ???? (???? ""??????? ???"" ????? ????) ?????? ???????? ???? ?? ???? ???? ????? ??? ????",medical
90,"I assign payment otherwise payable to me from Medicare, Medicaid, insurance carriers, employees health benefit plans, and other third-party payers (collectively referred to as “Plans’} to Providers.",?? Medicare? Medicaid? ?? ???? ????? ???? ??? ??? ???????? ???? ???? ??? ????? (???? “????’} ????? ????) ???? ???? ???? ???? ?????? ?????,medical
91,"I understand I am responsible for knowing the limits of my Plan benefits and agree to be personally responsible for paying for health services provided to me, including any amount not paid by my Plan, consistent with any applicable, written, contractual discounts and the Providers’ patient financial assistance policies.",??? ??? ?????? ?? ???? ????? ?? ??? ????? ?????? ?????? ???? ????? ??? ????? ?????? ??? ????? ?? ??? ????? ???? ????? ???? ???? ????? ???? ??? ????? ?????? ????? ????? ????? ???? ???????,medical
92,I am responsible for following all insurance policy rules.,???? ???? ??? ???? ?? ???? ????? ????,medical
93,I understand charges may be based upon the clinic's charge-master and accept those charges as being reasonable.,????? ??? ??? ???? ?? ?? ???? ??? ?????? ???? ?? ???? ????? ??? ????? ?? ?????? ?? ???????,medical
94,"I know that if I do not pay what I owe to Providers, they may send the matter to a collection agency or attorney; I understand and agree to be responsible for all collection costs, including reasonable attorney's fees, court costs, and interest.",????? ?????? ????? ????????? ?? ??? ?? ?? ???? ??? ?? ??? ????? ?????? ???? ??? ??? ?? ???? ?????? ????? ????? ???? ???? ????? ?? ???? ???’?? ??? ???? ???? ????? ???????,medical
95,"I understand any over-payments, deposits, and/or credits may be applied to any other outstanding account balances with IU Health prior to receiving a refund.",??? ??? ??? ????? ???? ?????/?? ???? ??? ???? ???? ???? ?? ??? ??? ???? ?? ??? ??? ?? IU Health ???? ?????? ?????,medical
96,DISCLAIMER:,????? ?????,medical
97,Patient's payer identification card is for informational purposes only.,?? ???? ??? ???? ??? ????? ???? ??? ???,medical
98,Contracts for payment and reimbursement must be agreed to in writing by both payer and the Hospital.,?? ????? ????? ???? ?????? ???? ?????? ???? ????? ????,medical
99,Any attempt to establish a contract or vary the terms of a contract with provisions contained on a patient's payer identification card is disclaimed and rejected.,??? ??? ??? ??? ?????? ?? ???? ??? ?? ???? ??? ??? ???? ?????? ??? ??? ?????? ????? ?????? ???,medical
100,INDIANA LAW AND JURISDICTION:,??? ????? INDIANA?,medical
101,"I understand that I am receiving care from an Indiana health care system. Agree that if I choose to raise a dispute related to my care or billing, the case must be filed in an Indiana court, and I agree Indiana law will apply.",?? ???? ???? ??? Indiana ???? ???? ?? ??? ????? ?? ????? ?? ???? ?????? ???? ???? ??????? ?? ??? ?? ?? ??? Indiana ???? ?? ??? ?????? ?? Indiana ?? ?? ???? ??????,medical
102,COMMUNICATIONS CONSENT:,???? ?????,medical
103,"You expressly consent and agree that Providers may use health information about your medical care for a range of purposes, including billing and collecting moneys due from you.",??? ???? ?????? ?????? ????? ???? ????? ?? ??? ???? ???? ????? ???? ?? ???? ???? ??????? ???????? ???? ?? ?? ?? ??? ???? ???? ????? ????? ??????,medical
104,"Providers' employees, business associates, and other third parties acting on its behalf may contact you with information relating to your care, including: appointment reminders; scheduling or registration; alerts about preventative services and other treatment options; information regarding insurance, billing, eligibility, and/or collections; health-related promotional information that might be of interest to you; or other reminders and alerts that may be helpful in coordinating/continuing your health care.",??????? ???? ??????? ?? ??? ??????? ???’?? ???? ???? ?????? ???? ???? ?? ??? ???? ???? ???? ?????? ????? ?????? ??????? ???? ??? ?? ????? ???????? ???? ????? ???????? ???? ?? ???? ???????? ???? ???? ?????? ????? ????? ?? ?? ????? ?? ??? ?????? ??? ????? ????? ?? ??? ?? ?????/???? ?? ???? ????? ??? ???? ???? ???????? ??????????,medical
105,"You expressly consent and agree to be contacted at the phone number (including mobile, cellular/wireless or similar devices) and/or email address you provide below, including by text (SMS), for which your telecommunications carrier may charge data usage fees (including additional charges when roaming).",???? ??????? ???????? ?? ?? ??? ???? ??? ???? (????? ????/??? ??? ?? ?????? ?????? ????) ???’??/?? ???? ????? ????? ???? (SMS)? ??? ?? ????????? ??? ???? ????? ???? ???? ???? ( ???? ?? ????? ??? ???? ???? ???)?,medical
106,Please contact your wireless carrier for complete pricing details.,???? ????? ???? ?????? ????? ?? ?? ??? ??? ?????? ????? ??? ?????,medical
107,"The ways in which we may contact you include live operator, automatic telephone dialing systems (auto-dialer), artificial or prerecorded message, text/SMS message, or email.",??? ??????? ?????? ??????? ???? ?????? ????? ????? ???? ???? (auto-dialer)? ??-??? ?? ???? ????? ?????? ????? ???/ SMS? ?? ???? ???????,medical
108,"By providing your phone number and/or email to us without conditions, whether directly or through an intermediary, verbally, electronically, or in writing Providers may contact you by phone (described above), text (SMS), and/or email communications to perform your medical care and services related to your medical care, such as appointment reminders, education, patient experience and care inquiries, and billing services, including for purposes of collecting moneys due from you.",??? ??????/?? ?????? ??? ??? ??? ????? ???? ??? ????? ????? ???? ????????? ?? ???? ???? ?????? ????? (?? ??? ???? ??)? ???? (SMS)? ???’??/?? ????? ???? ?? ????? ?????? ?? ????? ????? ?????? ????????? ?? ????? ???? ?????? ???? ????? ???? ?????? ???’?? ??????? ??? ????? ????? ?????? ???? ???? ???? ????? ?????,medical
109,"By signing below, you agree that we may call your phone (described above), text (SMS), and/or send email communications for marketing or solicitation about Providers’ or our third-party partners’ products and services related to medical care that we think would be of interest to you, including for research recruitment purposes by the Hospital and Indiana University.",?? ??? ?????? ???? ?? ????? ???? ?????? ?????? ???????? ???? ?????? ?? ???? ??? ?????? ???? ?? ????? ????? (?? ??? ???? ??)? ????? (SMS)? ???’??/?? ?? ?? ???? ???? ????? ?? ????? ????? ?????? ???? ???? ? Hospital and Indiana University ??? ??? ????? ??? ?????,medical
110,"You understand you are not required to sign or agree to enter this communications consent as a condition of purchasing any property, goods, or servlC9S.",?? ?? ???? ???? ?? ??? ??? ??? ????? ???? ?? ?????? ????? ????? ?? ????? ??????? ?????,medical
111,This agreement will remain in place unless you take steps to revoke your consent.,?? ???? ?? ????? ????? ???? ????????? ?? ??? ???? ???,medical
112,"If you wish to do this, you should:",?? ???? ???????? ????? ?????,medical
113,"(i) provide Providers with written notice revoking your prior consent, (ii) include your name, mailing address, and the last four digits of your account number; (iii) advise whether you would like communications to cease via phone all, text/SMS or email; (iv) provide the specific phone number(s) and email address; and (v) send the notice to Providers, Attention Customer Service, 250 N. Shadeland Ave., Indianapolis, Indiana 46219.",(i) ????? ?????? ????? ????? ???? ???? ?? ??? ???? ???? (ii) ???? ?? ??? ??????? ?? ????? ????? ???? ??? ????? ????? (iii) ?????? ????/SMS ?? ????? ???? ???? ?? ??? ???? ??????? ??? ???? (iv) ?? ??? ??? ????(??)? ???? ????? ???? ???’?? (v) ?? ???? ?? ???? ??????? ???? ?????? ????? 250 N. Shadeland Ave.? Indianapolis? Indiana 46219 ?????,medical
114,I AGREE WITH THE ABOVE COMMUNICATIONS CONSENT:,??? ?? ??? ?? ???? ???? ??????,medical
115,YES NO,?? ?????,medical
116,DATE/TIME,???/???,medical
117,PHONE NUMBER,??? ????,medical
118,**Please see following for IMPORTANT NOTICES”,**????? ????? ????? ?????? ?? ??”,medical
119,ATTENTION:,???????,medical
120,Please read entire form before signing.,??? ????? ????? ??? ??? ??????,medical
121,Changes will not be accepted on this form.,??? ??? ????? ?????? ???????,medical
122,"By signing this, I agree that I have read everything in this Consent and agree that everything in this Consent will apply to current and future health care services provided by Providers.",?? ?????? ??? ???? ?? ?? ?? ??????? ?? ??? ???? ?? ????? ?????? ???? ???? ???? ?????? ???? ??? ?? ????? ??????,medical
123,SIGNATURE OF PATIENT/LEGAL REPRESENTATIVE,??? ????/??? ???,medical
124,DATE/TIME,???/???,medical
125,RELATIONSHIP,????,medical
126,SIGNATURE OF GUARANTOR (IF OTHER THAN PATIENT/LEGAL REPRESENTATIVE),??? ??? (?? ???/??? ??? ??? ??????),medical
127,DATE/TIME,???/???,medical
128,RELATIONSHIP,????,medical
129,GENERAL CONSENT FOR PROFESSIONAL/CLINIC,???? ???? ???? ??/????,medical
130,136652 (10/10/2023),136652 (10/10/2023),medical
131,Page 1 of 2,?? 1 ?? 2,medical
132,GENERAL FINANCIAL,???? ????,medical
133,CONSENT,????,medical
134,Y-2,Y-2,medical
135,RELEASE OF INFORMATION:,???? ?????,medical
136,Current and/or previous providers may share your medical records to Providers to facilitate your health care.,?? ???/?? ??? ?? ???? ???? ??????? ?????? ????? ?????? ????? ?????? ????? ?????? ?????? ?????,medical
137,The Providers may use minimally necessary medical records for your health care.,??? ???? ?????? ????? ????? ???? ????? ??? ????? ???? ???? ?????,medical
138,"Providers may share your minimally necessary medical information with family members and friends involved in your care to make decisions about your care, if you are unable to do so or give permission.",???? ?????? ???? ????? ????? ????? ?? ???? ?????? ?? ????? ???? ????? ???? ???? ??? ????? ?????? ?????? ???? ???? ????? ??? ????? ?? ??? ??? ??????????,medical
139,"Providers may share your medical records to third-party payers, insurance companies, review agencies, employers, welfare departments, and third-party data service providers such as health information exchange programs.",???? ?????? ????? ?????? ????? ??? ????? ?? ???? ??????? ??? ???? ????? ?????? ????? ????? ???’?? ???? ??? ???? ?????? ????? ?? ???? ????? ???? ??? ???? ?????,medical
140,"You have the right to request a restriction of your health information by contacting Health Information Management, 1701 N Senate Blvd., Indianapolis, IN 46202.",?Health Information Management? 1701 N Senate Blvd.? Indianapolis? IN 46202 ????? ?? ??? ?????? ??? ?? ???? ??? ?????,medical
141,"At any time, you may change this by giving written notice to Providers.",?? ??? ???? ????? ?????? ???? ???? ???? ?? ????? ???? ????,medical
142,HIPAA:,HIPAA?,medical
143,Providers’ Notice of Privacy Practices has been given or made available.,?? ???? ?????? ???? ?? ?????? ??????? ???? ?? ??? ???? ???,medical
144,USE AND DISPOSAL OF BODY PARTS:,?????? ????? ??? ?????,medical
145,"Providers are part of a research and teaching institution and are permitted to use body parts removed from procedure(s), including organs, tissue, bone, or bodily fluids, for these purposes.",???? ?????? ??? ?? ?? ?????? ????? ??? ????? ?? ???? (??) ????? ????? ????? ????? ????? ??? ??? ?? ??? ????? ??? ????? ???? ???????,medical
146,"Your data and body parts will be treated carefully, so you cannot be identified, except as required by law.",??????? ??? ?????? ????? ???? ??? ??? ????? ????? ?????? ???? ???? ??? ????,medical
147,You do not legally own your body parts after removal and have no rights to the research products from these parts.,??? ???? ??? ????? ???? ???? ???????? ???? ????? ?? ????? ???? ???? ??? ??????,medical
148,PICTURES AND RECORDINGS:,?????? ???????,medical
149,Audio and video recording of your care will be for Providers’ use only or as allowed by law.,?? ????? ???? ???? ????? ??????? ???? ??? ??? ?? ??? ?? ???? ???? ???,medical
150,You will be asked to sign a separate consent if recordings and pictures are used for other purposes.,?????? ?????? ????? ????? ?????????? ??? ???? ???? ???? ????,medical
151,You are not allowed to record or photograph without Providers’ prior consent.,??? ??? ???? ??'?? ???? ?????? ????? ?? ???? ?????? ???,medical
152,INFECTIOUS DISEASE TESTING:,???? ???? ????,medical
153,Providers test for infectious diseases.,???? ?????? ????? ???? ??????,medical
154,This may include hepatitis and human immunodeficiency virus (HIV).,?? ?? ??? ??? ???? ???? ???? ????? ??? ??? (HIV) ????? ?????,medical
155,These tests may be ordered by a Provider if one of your caregivers is exposed to your bodily fluid.,??? ?????? ????? ?? ?? ????? ???? ????? ??????? ???? ?????? ???? ?????,medical
156,PERSONAL BELONGINGS:,????  ?????,medical
157,"Providers are not liable for loss, theft, or damage of my personal belongings.",???? ?????? ????? ????? ?????? ??? ?? ???? ????? ??????,medical
158,"Providers want belongings of value sent home, but you can keep certain belongings with you AT YOUR OWN RISK AND AT YOUR OWN EXPENSE, AND NO ONE AT Providers CAN CHANGE THIS RISK.",???? ?????? ?? ???? ????? ?? ???? ???? ???? ???? ?? ?? ????? ?? ??? ???? ???? ??? ??? ???? ???? ??? ???? ???? ???'?? ?? ???? ?????? ??? ?? ?? ???'? ???? ?????? ???,medical
159,"Providers, including Providers' employees and agents, such as security, has the right to search any of your things on the premises, including purses and wallets, for the safety and welfare of its patients and visitors.",???? ??????? ????????? ????? ????? ????? ?? ???? ??????? ????? ????? ?????? ??? ??? ???? ??? ??? ?????? ????? ???? ????? ?? ???? ??? ?????,medical
160,You can avoid having your things searched by leaving them at home or in a vehicle.,?? ???? ?? ?? ????? ????? ????? ?? ???? ???? ???? ????,medical
161,"If Providers decides an item could be a threat to health or safety, Providers may provide for removal from the patient environment and appropriate storage.",???? ?????? ?? ??? ??? ??? ?? ???? ???? ???? ?????? ????? ????? ?? ??? ????? ??? ????? ???? ???? ????? ???? ???? ????,medical
162,REFERRALS:,??????,medical
163,Your provider may have referred you to an out of network provider for health care items or services.,??? ??????? ????? ???? ??? ?? ??????? ?? ?? ???? ??? ??? ???? ??????? ???? ???? ???,medical
164,An out of network provider is not bound by the payment provisions that apply to health care items or services rendered by a network provider under your health plan.,?? ???? ??? ??? ??? ?????? ?? ????? ??? ????? ???? ???? ???? ????? ???? ???? ??? ?? ??????? ????? ?? ???? ?????? ?????? ???,medical
165,You may contact your health plan before receiving health care items or services rendered by an out of network provider to obtain a list of network providers that may render the health care items or services and for additional assistance.,??? ??? ?? ???? ??? ??? ??? ?????? ???? ??? ????? ???? ????? ???? ???? ???? ???? ???? ?? ?? ??? ???? ???? ?? ??????? ??? ???? ???? ???? ?????? ????? ?????,medical
166,ESTIMATES:,?????,medical
167,Patients can request an estimate for the cost of non-emergency medical services provided at Providers.,????? ?? ???? ?????? ???? ????? ??? ???? ????? ??????? ??? ??? ?????,medical
168,"To request an estimate, an Estimates Team Member at 317.963.2541 or 833.722.6050 (toll free) or Estimates@IUHeaIth.org.",??? ?????? ?? ??? ??? ???? ?? 317.963.2541 ?? 833.722.6050 (?? ???? ??) ?? Estimates@IUHeaIth.org.,medical
169,Estimates@IUHeaIth.org,Estimates@IUHeaIth.org,medical
170,GENERAL CONSENT FOR PROFESSIONAL/CLINIC,???? ???? ???? ??/????,medical
171,136652 (10/10/2023),136652 (10/10/2023),medical
172,Page 2 of 2,?? 2 ?? 2,medical
173,GENERAL FINANCIAL,???? ????,medical
174,CONSENT,????,medical
175,Y-2,Y-2,medical
176,"All clients of Exodus Refugee Immigration, Inc. have the following rights:","??? ???? Exodus Refugee Immigration, Inc? ??? ???? ???? ??????",legal
177,"The right to self-determination in all your actions, including the right to consent to or refuse any services offered by Exodus","????? Exodus Refugee Immigration, Inc. ???? ?? ??? ?????? ???? ??? ????? ?????/?? ?? ?????? ??? ?????? ????? ????",legal
178,"Refugee Immigration, Inc. and/or their volunteer partners;",,legal
179,The right to be treated with respect in all interactions;  ,?? ?? ??? ???? ???? ?? ?????? ????,legal
