id,english,tigrinya,domain
16,"These diseases still occur, and the doctor will need to consider that your child may have one.",እዞም ሕማማት እዚኦም ሕጂ’ውን ይርአዩ ኣለው እዮም፣ እቲ ሓኪም ድማ ውላድኩም ሓደ ካብዚኣቶም ክህልዎ ከም ዝኽእል ኣብ ግምት ከእቱ ኣለዎ።,medical
17,"If your child has a vaccine-preventable disease, the healthcare workers who help your child can take precautions, such as isolating your child, so that the disease does not spread to others.",ውላድኩም ክታበት ክከላኸሎ ዝኽእል ሕማም እንተሃልይዎ፣ እቶም ንውላድኩም ዝሕግዙ ሰራሕተኛታት ክንክን ጥዕና፣ እቲ ሕማም ናብ ካልኦት ከይስፋሕፋሕ፣ ከም ንውላድካ ምንጻል ዝኣመሰሉ ጥንቃቐታት ክገብሩ ይኽእሉ።,medical
18,Some people are at higher risk of infection,ገለ ሰባት ኣብ ዝለዓለ ሓደጋ ረኽሲ ይርከቡ,medical
19,One group at high risk for contracting disease is in- fants who are too young to be vaccinated.,ሓደ ካብ'ቶም ብሕማም ናይ ምልካፍ ልዑል ሓደጋ ዘለዎም ጉጅለ፣ ክታበት ክወሃቦም ዘይክእሉ ኣዝዮም ንኣሽቱ ዕሸላት እዮም።,medical
20,"For example, the measles vaccine is not usually recommended for babies younger than 9-12 months.",ንኣብነት፣ ክታበት ንፍዮ መብዛሕትኡ ግዜ ትሕቲ 9-12 ወርሒ ንዝዕድሚኦም ህጻናት ክወሃብ ኣይምከርን።,medical
21,"Very young babies who get measles are likely to be seriously ill, often requiring hospitalization.",ንፍዮ ዝሓሙ ኣዝዮም ንኣሽቱ ዕሸላት ብኸቢድ ክሓሙ ተኽእሎ ኣሎ፣ መብዛሕትኡ ግዜ ድማ ኣብ ሆስፒታል ምእታው የድልዮም።,medical
22,"Other people at high risk of contracting disease are those with weaker immune systems, due to other existing diseases or medications they are taking (such as some people with cancer, autoimmune diseases or transplant recipients).",ካልኦት ኣብ ልዑል ሓደጋ ሕማም ናይ ምልካፍ  ዘለዉ ሰባት፣ ብሰንኪ ካልኦት ህሉዋት ሕማማት ወይ ዝወስዱ ዘለዉ መድሓኒታት (ከም ገለ መንሽሮ ዘለዎም ሰባት፣ ሕማማት ዓቕሚ ርእሰ-ምክልኻል ሕማም ወይ ንቕለ ተኸላ ተቐበልቲ) ዝደኸመ ስርዓተ ምክልኻል ዘለዎም እዮም።,medical
23,1,1,medical
24,Before an outbreak of a vaccine- preventable disease occurs in your community,ኣብ ማሕበረሰብኩም ዝኽሰት ክታበት ክከላኸሎ ዝኽእል ሕማም ቅድሚ ምፍጣሩ,medical
25,Ensure that your child is adequately immunized for his or her age according to the routine immunization schedule.,ውላድኩም ብመሰረት ስሩዕ መደብ ክታበት ምስ ዕድሚኡ ወይ ዕድሚኣ እኹል ክታበት ከም ዝወሃቦ ወይ ዝወሃባ ኣረጋግጹ።,medical
26,Talk to your child’s doctor or nurse to be sure your child’s medical and immunization records are up to date regarding vaccination status.,ናይ ውላድኩም ናይ ሕክምናን ናይ ክታበት መዝገብ ብዛዕባ ናይ ክታበት ኩነታት እዋናዊ ምዃኑ ንምርግጋጽ ምስ ናይ ውላድኩም ሓኪም ወይ ነርስ ተዘራረቡ።,medical
27,Ask for a copy of the updated record.,ቅዳሕ ናይ’ቲ ዝተመሓየሸ መዝገብ ሕተቱ።,medical
28,"Keep your child’s school, childcare facility and other caregivers updated on your child’s vaccination status.",ቤት ትምህርቲ ውላድኩም፣ መዕበዪ ህጻናትን ካልኦት ኣለይትን ብዛዕባ ኩነታት ክታበት ውላድኩም ሓበሬታ ሃቡ።,medical
29,Be aware that unimmunized children can catch diseases from people who don’t have any symptoms.,እቶም ዘይተኸተቡ ህጻናት ካብቶም ዝኾነ ምልክታት ዘይብሎም ሰባት ሕማማት ክሕዙ ከም ዝኽእሉ ኣስተውዕሉ።,medical
30,You cannot tell who is contagious.,መን ተላባዒ ምዃኑ ክትሕብሩ ኣይትኽእሉን ኢኹም።,medical
31,Communities depend on high immunization coverage to keep vaccine-preventable diseases from spreading.,ማሕበረሰባት ብክታበት ክኽልከሉ ዝኽእሉ ሕማማት ከይላብዑ ኣብ ልዑል ሽፋን ክታበት ይምርኮሱ።,medical
32,"The more parents who choose not to vaccinate their children, the greater the risk of spreading diseases.",ደቆም ከይኽተቡ ዝመርጹ ወለዲ ብዝወሰኹ መጠን፣ ሕማማት ናይ ምስፍሕፋሕ ሓደጋኦም ይዓቢ።,medical
33,You put not only your child but also your community at risk when you decide not to vaccinate.,ክታበት ዘይምውሳድ ምስ እትውስኑ፣ ንውላድኩም ጥራይ ዘይኮነስ ንማሕበረሰብኩም እውን ኣብ ሓደጋ ትእትው ኢኹም።,medical
34,When there is vaccine-preventable disease in your community,ኣብ ማሕበረሰብኩም ክታበት ክከላኸሎ ዝኽእል ሕማም ምስ ዝህሉ,medical
35,It may not be too late to get protection by getting vaccinated.,ብምኽታብ መከላኸሊ ንምርካብ ብጣዕሚ ደንጉዩ ዘይክኸውን ይኽእል እዩ።,medical
36,Ask your child’s doctor.,ንሓኪም ውላድኩም ሕተቱ።,medical
37,"If there are cases (or, in some circumstances, a single case) of a vaccine-preventable disease in your community, you may be asked to take your child out of school, childcare or organized activities (for example, playgroups or sports).",ኣብ ማሕበረሰብኩም ክታበት ክከላኸሎ ዝኽእል ሕማም ዘለዎም ሰባት (ወይ ኣብ ገለ ኩነታት ሓደ ተርእዮ) እንተሃልዮም፣ ንውላድኩም ካብ ቤት ትምህርቲ፣ ክንክን ህጻናት ወይ ዝተወደበ ንጥፈታት (ንኣብነት፣ ጉጅለታት ጸወታ ወይ ስፖርት) ከተውጽእዎ ክትሕተቱ ትኽእሉ ኢኹም።,medical
38,"Your school, childcare facility or other institution will tell you when it is safe for an unvaccinated child to re- turn.",ቤት ትምህርትኹም፣ መዕበዪ ህጻናት ወይ ካልእ ትካልኩም፣ ዘይተኸተበ ህጻን መዓስ ክምለስ ውሑስ ምዃኑ ክነግረኩም እዩ።,medical
39,Be prepared to keep your child home for several days or up to several weeks.,ንውላድኩም ንብዙሓት መዓልታት ወይ ክሳብ ብዙሓት ሰሙናት ኣብ ገዛ ክተጽንሕዎ ድሉው ኩኑ።,medical
40,Learn about the disease and how it is spread.,ብዛዕባ እቲ ሕማምን ብኸመይ ከም ዝላባዕን ፍለጡ።,medical
41,It may not be possible to avoid exposure.,ካብ ምቅላዕ ምውጋድ ዘይከኣል ክኸውን ይኽእል እዩ።,medical
42,"Each disease is different, and the time between when your child might have been exposed to a disease and when he or she may get sick will vary.",ነፍሲ ወከፍ ሕማም ዝተፈለየ እዩ፣ ውላድኩም ንሓደ ሕማም ተቓሊዑ ክኸውን ዝኽእል ግዜን ክሓምም ዝኽእል ወይ ክትሓምም ትኽእል ግዜን ድማ ይፈላለ እዩ።,medical
43,Talk with your child’s doctor to get their guidelines for determining when your child is no longer at risk of coming down with the disease.,ውላድኩም ድሕሪ ሕጂ በቲ ሕማም ናይ ምትሓዝ ሓደጋ ምስ ዘይህልዎ ንምውሳን ዝሕግዙ መምርሒታቶም ንምርካብ ምስ ሓኪም ውላድኩም ተዘራረቡ።,medical
44,BE WARE,ተጠንቀቑ,medical
45,Any vaccine-preventable disease can appear at any time in the European Region because all of these diseases still circulate either here or elsewhere in the world.,ዝኾነ ክታበት ክከላኸሎ ዝኽእል ሕማም ኣብ ዞባ ኤውሮጳ ኣብ ዝኾነ እዋን ክረአ ይኽእል እዩ፣ ምኽንያቱ ኩሎም እዞም ሕማማት ክሳብ ሕጂ ኣብዚ ወይ ኣብ ካልእ ቦታታት ዓለም ይዘዋወሩ ስለዘለው።,medical
46,"Sometimes vaccine-preventable diseases cause clusters of cases and outbreaks, i.e. an increased number of cases in a given time and area.",ሓደ ሓደ ግዜ ብክታበት ክኽልከሉ ዝኽእሉ ሕማማት ምትእኽኻብ ሕሙማትን ለበዳታትን የስዕቡ፣ ማለት ኣብ ዝተወሰነ ግዜን ከባቢን ቁጽሪ ሕሙማት ይውስኽ።,medical
47,"For some diseases, one case is enough to cause concern in a community.",ንገለ ሕማማት፣ ሓደ ተርእዮ ኣብ ሓደ ሕብረተሰብ ሻቕሎት ንምፍጣር እኹል እዩ።,medical
48,"An example is measles, which is one of the most contagious diseases known.",ኣብነት ናይዚ ሕማም ንፍዮ ኮይኑ፣ ሓደ ካብቶም ብዝለዓለ ደረጃ ዝፍለጡ ተላባዕቲ ሕማማት እዩ።,medical
49,This disease spreads quickly among people who are not immune.,እዚ ሕማም እዚ ኣብቶም ናይ ምክልኻል ዓቕሚ ዘይብሎም ሰባት ብቕልጡፍ ይላባዕ።,medical
50,"In most cases, there is no way to know beforehand how severe diseases will be in your child.",ኣብ መብዛሕትኡ ኣጋጣሚታት፣ እቲ ሕማም ኣብ ውላድኩም ክሳብ ክንደይ ከቢድ ከምዝኸውን ኣቐዲምካ ንምፍላጥ ዝሕግዝ ኣገባብ የለን።,medical
51,"Learn more by asking your health care provider for the sheet titled “Vaccine- preventable diseases: signs, symptoms & complications”",ንወሃቢ ክንክን ጥዕናኹም “ብክታበት ክኽልከሉ ዝኽእሉ ሕማማት፦ ምልክታት፣ ምልክታትን ጸገማትን” ዝብል ኣርእስቲ ዘለዎ ወረቐት ብምሕታት ዝያዳ ፍለጡ።,medical
52,2,2,medical
53,If you know your child is exposed to a vaccine-preventable disease for which he or she has not been vaccinated,ውላድኩም ብክታበት ክከላኸሎ ዝኽእል ሕማም ከም ዝተቓልዐ እንተፈሊጥኩም፣ ማለት እውን ክታበት ዘይተገበረሉ ወይ ዘይተገበረላ,medical
54,Learn the early signs and symptoms of the disease.,ናይ መጀመርታ ምልክታትን ምልክታት ናይቲ ሕማምን ፍለጡ።,medical
55,Seek immediate medical help if your child or any family members develop early signs or symptoms of the disease.,ውላድኩም ወይ ዝኾነ ኣባል ስድራቤትኩም ናይ መጀመርታ ምልክታት ወይ ምልክታት ናይ'ቲ ሕማም እንተድኣ ኣርእዩኩም ቅልጡፍ ሕክምናዊ ሓገዝ ድለዩ።,medical
56,IMPORTANT:,ኣገዳሲ ሓበሬታ፦,medical
57,"Notify your doctor, local medical facility, ambulance or emergency room personnel that your child has not been fully vaccinated before medical staff have contact with your child or your family members.",ሰራሕተኛታት ሕክምና ምስ ውላድኩም ወይ ኣባላት ስድራቤትኩም ቅድሚ ርክብ ምግባሮም፣ ንሓኪምኩም፣ ኣብ ከባቢኹም ዝርከብ ትካል ሕክምና፣ ኣምቡላንስ ወይ ሰራሕተኛታት ክፍሊ ህጹጽ ረድኤት ውላድኩም ምሉእ ብምሉእ ከምዘይተኸተበ ኣፍልጡ።,medical
58,They need to know that your child may have a vaccine-preventable disease so that they can treat your child correctly as quickly as possible.,ምእንቲ ንውላድኩም ብዝተኻእለ መጠን ብቕልጡፍ ብትኽክል ክሕክምዎ፣ ውላድኩም ክታበት ክከላኸሎ ዝኽእል ሕማም ክህልዎ ከም ዝኽእል ክፈልጡ ኣለዎም፣,medical
59,Medical staff also can take simple precautions to prevent diseases from spreading to others if they know ahead of time that their patient may have a contagious disease.,ሰራሕተኛታት ሕክምና እውን ሕሙሞም ተላባዒ ሕማም ክህልዎ ከምዝኽእል ኣቐዲሞም እንተፈሊጦም፣ ሕማማት ናብ ካልኦት ከይላብዑ ቀለልቲ ጥንቃቐታት ክገብሩ ይኽእሉ እዮም።,medical
60,If you travel with your child,ምስ ውላድኩም እንተተጓዒዝኩም,medical
61,Review the WHO travellers’ information website (www.who.int/topics/travel) before travelling to learn about possible disease risks and vaccines that will protect your family.,ቅድሚ ምጉዓዝኩም ብዛዕባ ክህልዉ ዝኽእሉ ሓደጋታት ሕማማትን ንስድራቤትኩም ዝከላኸሉ ክታበታትን ንምፍላጥ ኣብ መርበብ ሓበሬታ (www.who.int/topics/travel) ናይ WHO ሓበሬታ ተጓዓዝቲ ርአዩ።,medical
62,Diseases that vaccines prevent remain common throughout the world.,ክታበት ዝከላኸልዎም ሕማማት ኣብ መላእ ዓለም ልሙዳት ኮይኖም ይቕጽሉ ኣለዉ።,medical
63,http://www.who.int/topics/travel),http://www.who.int/topics/travel),medical
64,"If you are aware that you or your child have a vaccine-preventable disease, do not spread disease to others.",ንስኹም ወይ ውላድኩም ክታበት ክከላኸሎ ዝኽእል ሕማም ከም ዘለኩም እንተፈሊጥኩም፣ ናብ ካልኦት ሕማም ኣይተመሓላልፉ።,medical
65,"Do not travel in such condition, as you or other family members could still be infectious.",ንስኹም ወይ ካልኦት ኣባላት ስድራቤት ገና ተላባዒ ሕማም ዘለኩም ክትኮኑ ስለእትኽእሉ፣ ኣብ ከምዚ ኩነታት ኣይትጉዓዙ።,medical
66,"If an unimmunized person develops a vaccine-preventable disease while travelling, to prevent transmission to others, he or she should not travel by a plane, train or bus until a doctor determines the person is no longer contagious.",ሓደ ዘይተኸተበ ሰብ ክታበት ክከላኸሎ ዝኽእል ሕማም ኣብ ዝጓዓዘሉ እዋን እንተድኣ ኣማዕቢሉ፣ ናብ ካልኦት ከይመሓላለፍ፣ እቲ ሰብ ድሕሪ ደጊም ተላባዒ ሕማም ከምዘይብሉ ሓኪም ክሳብ ዘረጋግጽ ብነፋሪት፣ ባቡር ወይ ኣውቶቡስ ክጓዓዝ የብሉን ወይ የብላን።,medical
67,"In certain instances, public health authorities may prevent you from travelling, due to the risk of disease spreading.",ኣብ ዝተወሰኑ ኣጋጣሚታት፣ ሰበስልጣን ህዝባዊ ጥዕና ብሰንኪ ሓደጋ ምስፍሕፋሕ ሕማም ካብ ምጉዓዝ ክኽልክልኹም ይኽእሉ እዮም።,medical
68,Check your own status,ናይ ገዛእ ርእስኹም ኩነታት መርምሩ,medical
69,"Make sure to check your own immunization status, as you are putting your child at risk of disease when you are not fully vaccinated.",ምሉእ ብምሉእ ኣብ ዘይትኽተብሉ እዋን ንውላድኩም ኣብ ሓደጋ ሕማም ስለ እተእትውዎ፣ ናይ ገዛእ ርእስኹም ናይ ክታበት ኩነታት ምምርማርኩም ኣረጋግጹ።,medical
70,"Follow recommendations to isolate your child from others, including family members, and especially infants and people with weakened immune systems.",ንውላድኩም ካብ ካልኦት ሰባት፣ እንተላይ ካብ ኣባላት ስድራቤት፣ ብፍላይ ድማ ካብ ዕሸላትን ሕማም ናይ ምክልኻል  ዓቕሞም ዝደኸመ ሰባትን ንምንጻል ዝወሃቡ ለበዋታት ተኸተሉ።,medical
71,"For more information on vaccines, visit:",ብዛዕባ ክታበታት ተወሳኺ ሓበሬታ ንምርካብ፣ ኣብዚ ዝስዕብ መርበብ ሓበሬታ ተወከሱ፦,medical
72,<3680>www.euro.who.int/vaccine/resourcecentre</3680>,<3680>www.euro.who.int/vaccine/resourcecentre</3680>,medical
73,http://www.euro.who.int/vaccine/resourcecentre,http://www.euro.who.int/vaccine/resourcecentre,medical
74,"Be aware that for some vaccine-preventable diseases, there are medicines to treat infected people and medicines to keep people they come in contact with from getting the disease.",ንገለ ብክታበት ክኽልከሉ ዝኽእሉ ሕማማት፣ ንዝተለኽፉ ሰባት ዝሕክሙ መድሓኒታትን ዝራኸብዎም ሰባት ድማ በቲ ሕማም ከይተሓዙ ዝሕግዙ መድሓኒታትን ከምዘለዉ ኣስተውዕሉ።,medical
75,Ask your healthcare provider about other ways to protect your family members and anyone else who may come into contact with your child.,ንኣባላት ስድራቤትኩምን ምስ ውላድኩም ክራኸብ ዝኽእል ካልእ ዝኾነ ሰብን ክትከላኸሉሉ ብዛዕባ እትኽእሉ ካልኦት መገድታት ንወሃቢ ክንክን ጥዕናኹም ሕተቱ።,medical
76,Your family may be contacted by the state or local health department that tracks infectious disease out- breaks in the community.,ስድራቤትኩም በቲ ኣብቲ ማሕበረሰብ ንዝፍጠር ለበዳ ተላባዒ ሕማም ዝከታተል ክፍሊ ጥዕና ናይቲ ግዝኣት ወይ ናይቲ ከባቢ ክረኽብዎ ይኽእሉ።,medical
77,© World Health Organization 2012,© World Health Organization 2012,medical
78,3,3,medical
79,Patient Label,መለለዪ ተሓካሚ,medical
80,General Consent for Professional/Clinic,ሓፈሻዊ ስምምዕ ንበዓል ሞያ/ክሊኒክ,medical
81,AUTHORIZATION FOR TREATMENT:,ናይ ሕክምና ፍቓድ፦,medical
82,"I authorize this Clinic and/or its associated entities; Physicians and Advanced Practice Providers, (collectively, “Providers’}; and their agents and employees to provide me with medical, mental health, and surgical care.",ነዚ ክሊኒክን/ወይ ድማ ምስኡ ዝተኣሳሰሩ ኣካላትን እፈቕደሎም፤ ሓካይምን ወሃብቲ ላዕለዋይ ልምዲ፣ (ብጠቕላላ፣ “ወሃብቲ ኣገልግሎት’)፤ ከምኡ’ውን ወከልቶምን ሰራሕተኛታቶምን ሕክምናዊ፣ ጥዕና ኣእምሮን መጥባሕታዊ ክንክንን ንኽህቡኒ።,medical
83,"This may include: tests, exams, procedures, drugs, and any other necessary treatment.",እዚ ድማ፦ ምርመራታት፣ ፈተነታት፣ ኣገባባት፣ መድሓኒታት፣ ከምኡ'ውን ዝኾነ ካልእ ኣድላዪ ሕክምና ከጠቓልል ይኽእል።,medical
84,I understand and agree that my care may be provided through a virtual visit or telehealth.,ሕክምናይ ብምናባዊ ምብጻሕ ወይ telehealth ክወሃብ ከም ዝኽእል እርዳእን እስማዕማዕን እየ።,medical
85,I agree that no one can guarantee results or cures.,ውጽኢት ወይ ፈውሲ ውሕስነት ክህብ ዝኽእል ሰብ ከምዘየለ እሰማማዕ እየ።,medical
86,"I understand Providers are part of a teaching environment, and at times, students, residents, and fellows may be involved in my care.",ወሃብቲ ኣገልግሎት ናይ ሓደ ናይ ምምሃር ሃዋህው ኣካል ምዃኖም እርዳእን እዩ፣ ኣብ ገለ እዋናት ድማ፣ ተምሃሮ፣ ነበርትን መሓዙተይን ኣብ ሕክምናይ ክሳተፉ ይኽእሉ።,medical
87,I attest that I have the legal right to consent to treatment for this patient.,ነዚ ተሓካሚ እዚ ንሕክምና ናይ ምፍቓድ ሕጋዊ መሰል ከም ዘለኒ እምስክር።,medical
88,ASSIGNMENT OF BENEFITS & PAYMENT RESPONSIBILITY:,ኣወሃህባ ረብሓታትን ሓላፍነት ክፍሊትን፦,medical
89,"I give Providers permission to give my medical records and information to insurance providers or other third-party payers to receive payment for services, care, or treatment (collectively referred to as “health services”) provided by Providers.","ንወሃብቲ ኣገልግሎት ናይ ሕክምና መዝገበይን ሓበሬታይን ንወሃብቲ ውሕስነት ወይ ካልኦት ሳልሳይ ኣካል ከፈልቲ ንወሃብቲ ኣገልግሎት ሕክምና (ብሓባር ""ኣገልግሎታት ጥዕና"" ተባሂሎም ዝጽውዑ) ንዝወሃቦም ኣገልግሎታት፣ ክንክን ወይ ሕክምና ክፍሊት ንክቕበሉ ፍቓድ እህብ።",medical
90,"I assign payment otherwise payable to me from Medicare, Medicaid, insurance carriers, employees health benefit plans, and other third-party payers (collectively referred to as “Plans’} to Providers.",ካብ Medicare፣ Medicaid፣ ናይ መድሕን ትካላት፣ መደባት ረብሓ ጥዕና ሰራሕተኛታትን ካልኦት ሳልሳይ ወገን ከፈልቲን (ብሓባር “መደባት’} ተባሂሎም ዝጽውዑ) ብኻልእ መንገዲ ዝኽፈል ክፍሊት ንኣቕረብቲ እምድቦ።,medical
91,"I understand I am responsible for knowing the limits of my Plan benefits and agree to be personally responsible for paying for health services provided to me, including any amount not paid by my Plan, consistent with any applicable, written, contractual discounts and the Providers’ patient financial assistance policies.",ደረት መደብ ጥቕምታተይ ናይ ምፍላጥ ሓላፍነት ከም ዘለኒ እርዳእን ንዝወሃበኒ ኣገልግሎት ጥዕና፣ እንተላይ ዝኾነ ብመደበይ ዘይተኸፍለ መጠን ገንዘብ፣ ምስ ዝኾነ ተግባራዊ ዝኾነ፣ ብጽሑፍ፣ ውዕላዊ ቅናስን ፖሊሲታት ቁጠባዊ ሓገዝ ሕሙማትን ዝሰማማዕ፣ ንምኽፋል ብውልቀይ ሓላፍነት ክወስድ እሰማማዕን።,medical
92,I am responsible for following all insurance policy rules.,ንኹሎም ሕግታት ፖሊሲ መድሕን ናይ ምኽታል ሓላፍነት ኣለኒ።,medical
93,I understand charges may be based upon the clinic's charge-master and accept those charges as being reasonable.,ክፍሊታት ኣብቲ ናይቲ ክሊኒክ ዋና ናይ ክፍሊት ሰነድ ዝተመርኮሱ ክኸውን ከም ዝኽእሉ እርዳእን ነቶም ክፍሊታት ከም ምኽንያታዊ ጌረ እቕበሎምን።,medical
94,"I know that if I do not pay what I owe to Providers, they may send the matter to a collection agency or attorney; I understand and agree to be responsible for all collection costs, including reasonable attorney's fees, court costs, and interest.",ንወሃብቲ ኣገልግሎት ዝግበኣኒ እንተዘይከፊለ፣ ነቲ ጉዳይ ናብ ናይ ጠቕላላ ትካል ወይ ጠበቓ ክሰድድዎ ከምዝኽእሉ እፈልጥ እየ፤ ንኹሉ ናይ ጠቕላላ ወጻኢታት፣ እንተላይ ንርትዓዊ ክፍሊት ጠበቓ፣ ወጻኢታት ቤት ፍርዲ፣ ከምኡ’ውን ወለድ ተሓታቲ ክኸውን እርዳእን እሰማማዕን።,medical
95,"I understand any over-payments, deposits, and/or credits may be applied to any other outstanding account balances with IU Health prior to receiving a refund.",ዝኾነ ልዕሊ ዓቐን ክፍሊት፣ ተቐማጢ ገንዘብን/ወይ ልቓሕን ቅድሚ ምምላስ ገንዘብ ምቕባሉ ኣብ ዝኾነ ካልእ ዝተረፈ ናይ ሕሳብ መጠን ምስ IU Health ክውዕል ከምዝኽእል እርዳእ።,medical
96,DISCLAIMER:,ሓላፍነት ምውሳድ፦,medical
97,Patient's payer identification card is for informational purposes only.,ናይ ተሓካሚ ከፋሊ መለለዪ ካርዲ ንሓበሬታ ዝዓለመ ጥራይ እዩ።,medical
98,Contracts for payment and reimbursement must be agreed to in writing by both payer and the Hospital.,ናይ ክፍሊትን ምምላስን ውዕላት ብኽልቲኦም ከፋልን ሆስፒታልን ብጽሑፍ ክሰማማዕ ኣለዎ።,medical
99,Any attempt to establish a contract or vary the terms of a contract with provisions contained on a patient's payer identification card is disclaimed and rejected.,ዝኾነ ይኹን ፈተነ ውዕል ንምምስራት ወይ ምቕያር ውዕል ኣብ መለለዪ ከፋሊ ሕሙም ዝርከብ ድንጋገታት ዝሓዘ ካርዲ ተቐባልነት ዘይብሉን ዝተነጽገን እዩ።,medical
100,INDIANA LAW AND JURISDICTION:,ሕግን ስልጣንን INDIANA፦,medical
101,"I understand that I am receiving care from an Indiana health care system. Agree that if I choose to raise a dispute related to my care or billing, the case must be filed in an Indiana court, and I agree Indiana law will apply.",ካብ ስርዓተ ክንክን ጥዕና Indiana ሕክምና ይረክብ ከም ዘለኹ እርዳእ። ምስ ሕክምናይ ወይ ሕሳበይ ዝተኣሳሰር ክርክር ከልዕል እንተመሪጸ፣ እቲ ጉዳይ ኣብ ቤት ፍርዲ Indiana ክቐርብ ከም ዘለዎ እሰማማዕ፣ ሕጊ Indiana ድማ ከም ዝሰርሕ እሰማማዕ።,medical
102,COMMUNICATIONS CONSENT:,ስምምዕ ርክባት፦,medical
103,"You expressly consent and agree that Providers may use health information about your medical care for a range of purposes, including billing and collecting moneys due from you.",እቶም ወሃብቲ ኣገልግሎት ብዛዕባኹም ሕክምናዊ ክንክን ዝምልከት ናይ ጥዕና ሓበሬታ ንብዙሕ ዕላማታት ክጥቀሙ ከም ዝኽእሉ ብግልጺ ክቕበልዎምን ክሰማምዕሎምን እዮም፣ እዚ ድማ ካብ ናቶም ዝኽፈል ገንዘብ ምኽፋልን ምእካብን የጠቓልል።,medical
