id,english,tigrinya,domain,tokenized_english,tokenized_tigrinya,eng_length,tir_length
12,You must tell the medical staff that your child has not received all the vaccines recommended for his or her age.,ንሰራሕተኛታት ሕክምና ውላድኩም ኩሉ እቲ ምስ ዕድሚኡ ወይ ዕድሚኣ ዝምከር ክታበት ከምዘይረኸበ ወይ ከምዘይረኸበት ክትሕብርዎም ኣለኩም።,medical,['You must tell the medical staff that your child has not received all the vaccines recommended for his or her age.'],['ንሰራሕተኛታት ሕክምና ውላድኩም ኩሉ እቲ ምስ ዕድሚኡ ወይ ዕድሚኣ ዝምከር ክታበት ከምዘይረኸበ ወይ ከምዘይረኸበት ክትሕብርዎም ኣለኩም።'],21,16
13,"Keep a vaccination record easily accessible so that you can report exactly which vaccines your child has received, even when you are under stress.",ውላድኩም ኣየኖት ክታበት ከም ዝረኸበ ብትኽክል ክትሕብሩ ምእንቲ፣ ዋላ ኣብ ጸቕጢ ኣብ ዘለኹምሉ እዋን፣ መዝገብ ክታበት ብቐሊሉ ክትረኽብዎ ኣብ እትኽእልሉ ቦታ ኣቐምጥዎ።,medical,"['Keep a vaccination record easily accessible so that you can report exactly which vaccines your child has received, even when you are under stress.']",['ውላድኩም ኣየኖት ክታበት ከም ዝረኸበ ብትኽክል ክትሕብሩ ምእንቲ፣ ዋላ ኣብ ጸቕጢ ኣብ ዘለኹምሉ እዋን፣ መዝገብ ክታበት ብቐሊሉ ክትረኽብዎ ኣብ እትኽእልሉ ቦታ ኣቐምጥዎ።'],24,22
14,© WHO / M. Bring,© WHO / M. Bring,medical,"['© WHO / M', 'Bring']",['© WHO / M. Bring'],5,5
15,"When your child is being evaluated, the doctor will need to consider the possibility that your child has a vaccine-preventable disease, such as measles, mumps, pertussis or diptheria.",ውላድኩም ክምርመር ከሎ፣ እቲ ሓኪም ውላድኩም ክታበት ክከላኸሎ ዝኽእል ሕማም ከም ንፍዮ፣ ሰሙን ጽግዕ፣ ተኽተኽታን ዲፍተርያን ክህልዎ ከም ዝኽእል ኣብ ግምት ከእቱ ከድልዮ እዩ።,medical,"['When your child is being evaluated, the doctor will need to consider the possibility that your child has a vaccine-preventable disease, such as measles, mumps, pertussis or diptheria.']",['ውላድኩም ክምርመር ከሎ፣ እቲ ሓኪም ውላድኩም ክታበት ክከላኸሎ ዝኽእል ሕማም ከም ንፍዮ፣ ሰሙን ጽግዕ፣ ተኽተኽታን ዲፍተርያን ክህልዎ ከም ዝኽእል ኣብ ግምት ከእቱ ከድልዮ እዩ።'],28,24
16,"These diseases still occur, and the doctor will need to consider that your child may have one.",እዞም ሕማማት እዚኦም ሕጂ’ውን ይርአዩ ኣለው እዮም፣ እቲ ሓኪም ድማ ውላድኩም ሓደ ካብዚኣቶም ክህልዎ ከም ዝኽእል ኣብ ግምት ከእቱ ኣለዎ።,medical,"['These diseases still occur, and the doctor will need to consider that your child may have one.']",['እዞም ሕማማት እዚኦም ሕጂ’ውን ይርአዩ ኣለው እዮም፣ እቲ ሓኪም ድማ ውላድኩም ሓደ ካብዚኣቶም ክህልዎ ከም ዝኽእል ኣብ ግምት ከእቱ ኣለዎ።'],17,20
17,"If your child has a vaccine-preventable disease, the healthcare workers who help your child can take precautions, such as isolating your child, so that the disease does not spread to others.",ውላድኩም ክታበት ክከላኸሎ ዝኽእል ሕማም እንተሃልይዎ፣ እቶም ንውላድኩም ዝሕግዙ ሰራሕተኛታት ክንክን ጥዕና፣ እቲ ሕማም ናብ ካልኦት ከይስፋሕፋሕ፣ ከም ንውላድካ ምንጻል ዝኣመሰሉ ጥንቃቐታት ክገብሩ ይኽእሉ።,medical,"['If your child has a vaccine-preventable disease, the healthcare workers who help your child can take precautions, such as isolating your child, so that the disease does not spread to others.']",['ውላድኩም ክታበት ክከላኸሎ ዝኽእል ሕማም እንተሃልይዎ፣ እቶም ንውላድኩም ዝሕግዙ ሰራሕተኛታት ክንክን ጥዕና፣ እቲ ሕማም ናብ ካልኦት ከይስፋሕፋሕ፣ ከም ንውላድካ ምንጻል ዝኣመሰሉ ጥንቃቐታት ክገብሩ ይኽእሉ።'],31,24
18,Some people are at higher risk of infection,ገለ ሰባት ኣብ ዝለዓለ ሓደጋ ረኽሲ ይርከቡ,medical,['Some people are at higher risk of infection'],['ገለ ሰባት ኣብ ዝለዓለ ሓደጋ ረኽሲ ይርከቡ'],8,7
19,One group at high risk for contracting disease is in- fants who are too young to be vaccinated.,ሓደ ካብ'ቶም ብሕማም ናይ ምልካፍ ልዑል ሓደጋ ዘለዎም ጉጅለ፣ ክታበት ክወሃቦም ዘይክእሉ ኣዝዮም ንኣሽቱ ዕሸላት እዮም።,medical,['One group at high risk for contracting disease is in- fants who are too young to be vaccinated.'],"[""ሓደ ካብ'ቶም ብሕማም ናይ ምልካፍ ልዑል ሓደጋ ዘለዎም ጉጅለ፣ ክታበት ክወሃቦም ዘይክእሉ ኣዝዮም ንኣሽቱ ዕሸላት እዮም።""]",18,16
20,"For example, the measles vaccine is not usually recommended for babies younger than 9-12 months.",ንኣብነት፣ ክታበት ንፍዮ መብዛሕትኡ ግዜ ትሕቲ 9-12 ወርሒ ንዝዕድሚኦም ህጻናት ክወሃብ ኣይምከርን።,medical,"['For example, the measles vaccine is not usually recommended for babies younger than 9-12 months.']",['ንኣብነት፣ ክታበት ንፍዮ መብዛሕትኡ ግዜ ትሕቲ 9-12 ወርሒ ንዝዕድሚኦም ህጻናት ክወሃብ ኣይምከርን።'],15,12
21,"Very young babies who get measles are likely to be seriously ill, often requiring hospitalization.",ንፍዮ ዝሓሙ ኣዝዮም ንኣሽቱ ዕሸላት ብኸቢድ ክሓሙ ተኽእሎ ኣሎ፣ መብዛሕትኡ ግዜ ድማ ኣብ ሆስፒታል ምእታው የድልዮም።,medical,"['Very young babies who get measles are likely to be seriously ill, often requiring hospitalization.']",['ንፍዮ ዝሓሙ ኣዝዮም ንኣሽቱ ዕሸላት ብኸቢድ ክሓሙ ተኽእሎ ኣሎ፣ መብዛሕትኡ ግዜ ድማ ኣብ ሆስፒታል ምእታው የድልዮም።'],15,16
22,"Other people at high risk of contracting disease are those with weaker immune systems, due to other existing diseases or medications they are taking (such as some people with cancer, autoimmune diseases or transplant recipients).",ካልኦት ኣብ ልዑል ሓደጋ ሕማም ናይ ምልካፍ  ዘለዉ ሰባት፣ ብሰንኪ ካልኦት ህሉዋት ሕማማት ወይ ዝወስዱ ዘለዉ መድሓኒታት (ከም ገለ መንሽሮ ዘለዎም ሰባት፣ ሕማማት ዓቕሚ ርእሰ-ምክልኻል ሕማም ወይ ንቕለ ተኸላ ተቐበልቲ) ዝደኸመ ስርዓተ ምክልኻል ዘለዎም እዮም።,medical,"['Other people at high risk of contracting disease are those with weaker immune systems, due to other existing diseases or medications they are taking (such as some people with cancer, autoimmune diseases or transplant recipients).']",['ካልኦት ኣብ ልዑል ሓደጋ ሕማም ናይ ምልካፍ  ዘለዉ ሰባት፣ ብሰንኪ ካልኦት ህሉዋት ሕማማት ወይ ዝወስዱ ዘለዉ መድሓኒታት (ከም ገለ መንሽሮ ዘለዎም ሰባት፣ ሕማማት ዓቕሚ ርእሰ-ምክልኻል ሕማም ወይ ንቕለ ተኸላ ተቐበልቲ) ዝደኸመ ስርዓተ ምክልኻል ዘለዎም እዮም።'],35,35
24,Before an outbreak of a vaccine- preventable disease occurs in your community,ኣብ ማሕበረሰብኩም ዝኽሰት ክታበት ክከላኸሎ ዝኽእል ሕማም ቅድሚ ምፍጣሩ,medical,['Before an outbreak of a vaccine- preventable disease occurs in your community'],['ኣብ ማሕበረሰብኩም ዝኽሰት ክታበት ክከላኸሎ ዝኽእል ሕማም ቅድሚ ምፍጣሩ'],12,9
25,Ensure that your child is adequately immunized for his or her age according to the routine immunization schedule.,ውላድኩም ብመሰረት ስሩዕ መደብ ክታበት ምስ ዕድሚኡ ወይ ዕድሚኣ እኹል ክታበት ከም ዝወሃቦ ወይ ዝወሃባ ኣረጋግጹ።,medical,['Ensure that your child is adequately immunized for his or her age according to the routine immunization schedule.'],['ውላድኩም ብመሰረት ስሩዕ መደብ ክታበት ምስ ዕድሚኡ ወይ ዕድሚኣ እኹል ክታበት ከም ዝወሃቦ ወይ ዝወሃባ ኣረጋግጹ።'],18,16
26,Talk to your child’s doctor or nurse to be sure your child’s medical and immunization records are up to date regarding vaccination status.,ናይ ውላድኩም ናይ ሕክምናን ናይ ክታበት መዝገብ ብዛዕባ ናይ ክታበት ኩነታት እዋናዊ ምዃኑ ንምርግጋጽ ምስ ናይ ውላድኩም ሓኪም ወይ ነርስ ተዘራረቡ።,medical,['Talk to your child’s doctor or nurse to be sure your child’s medical and immunization records are up to date regarding vaccination status.'],['ናይ ውላድኩም ናይ ሕክምናን ናይ ክታበት መዝገብ ብዛዕባ ናይ ክታበት ኩነታት እዋናዊ ምዃኑ ንምርግጋጽ ምስ ናይ ውላድኩም ሓኪም ወይ ነርስ ተዘራረቡ።'],23,21
27,Ask for a copy of the updated record.,ቅዳሕ ናይ’ቲ ዝተመሓየሸ መዝገብ ሕተቱ።,medical,['Ask for a copy of the updated record.'],['ቅዳሕ ናይ’ቲ ዝተመሓየሸ መዝገብ ሕተቱ።'],8,5
28,"Keep your child’s school, childcare facility and other caregivers updated on your child’s vaccination status.",ቤት ትምህርቲ ውላድኩም፣ መዕበዪ ህጻናትን ካልኦት ኣለይትን ብዛዕባ ኩነታት ክታበት ውላድኩም ሓበሬታ ሃቡ።,medical,"['Keep your child’s school, childcare facility and other caregivers updated on your child’s vaccination status.']",['ቤት ትምህርቲ ውላድኩም፣ መዕበዪ ህጻናትን ካልኦት ኣለይትን ብዛዕባ ኩነታት ክታበት ውላድኩም ሓበሬታ ሃቡ።'],15,13
29,Be aware that unimmunized children can catch diseases from people who don’t have any symptoms.,እቶም ዘይተኸተቡ ህጻናት ካብቶም ዝኾነ ምልክታት ዘይብሎም ሰባት ሕማማት ክሕዙ ከም ዝኽእሉ ኣስተውዕሉ።,medical,['Be aware that unimmunized children can catch diseases from people who don’t have any symptoms.'],['እቶም ዘይተኸተቡ ህጻናት ካብቶም ዝኾነ ምልክታት ዘይብሎም ሰባት ሕማማት ክሕዙ ከም ዝኽእሉ ኣስተውዕሉ።'],15,13
30,You cannot tell who is contagious.,መን ተላባዒ ምዃኑ ክትሕብሩ ኣይትኽእሉን ኢኹም።,medical,['You cannot tell who is contagious.'],['መን ተላባዒ ምዃኑ ክትሕብሩ ኣይትኽእሉን ኢኹም።'],6,6
31,Communities depend on high immunization coverage to keep vaccine-preventable diseases from spreading.,ማሕበረሰባት ብክታበት ክኽልከሉ ዝኽእሉ ሕማማት ከይላብዑ ኣብ ልዑል ሽፋን ክታበት ይምርኮሱ።,medical,['Communities depend on high immunization coverage to keep vaccine-preventable diseases from spreading.'],['ማሕበረሰባት ብክታበት ክኽልከሉ ዝኽእሉ ሕማማት ከይላብዑ ኣብ ልዑል ሽፋን ክታበት ይምርኮሱ።'],12,11
32,"The more parents who choose not to vaccinate their children, the greater the risk of spreading diseases.",ደቆም ከይኽተቡ ዝመርጹ ወለዲ ብዝወሰኹ መጠን፣ ሕማማት ናይ ምስፍሕፋሕ ሓደጋኦም ይዓቢ።,medical,"['The more parents who choose not to vaccinate their children, the greater the risk of spreading diseases.']",['ደቆም ከይኽተቡ ዝመርጹ ወለዲ ብዝወሰኹ መጠን፣ ሕማማት ናይ ምስፍሕፋሕ ሓደጋኦም ይዓቢ።'],17,11
33,You put not only your child but also your community at risk when you decide not to vaccinate.,ክታበት ዘይምውሳድ ምስ እትውስኑ፣ ንውላድኩም ጥራይ ዘይኮነስ ንማሕበረሰብኩም እውን ኣብ ሓደጋ ትእትው ኢኹም።,medical,['You put not only your child but also your community at risk when you decide not to vaccinate.'],['ክታበት ዘይምውሳድ ምስ እትውስኑ፣ ንውላድኩም ጥራይ ዘይኮነስ ንማሕበረሰብኩም እውን ኣብ ሓደጋ ትእትው ኢኹም።'],18,13
34,When there is vaccine-preventable disease in your community,ኣብ ማሕበረሰብኩም ክታበት ክከላኸሎ ዝኽእል ሕማም ምስ ዝህሉ,medical,['When there is vaccine-preventable disease in your community'],['ኣብ ማሕበረሰብኩም ክታበት ክከላኸሎ ዝኽእል ሕማም ምስ ዝህሉ'],8,8
35,It may not be too late to get protection by getting vaccinated.,ብምኽታብ መከላኸሊ ንምርካብ ብጣዕሚ ደንጉዩ ዘይክኸውን ይኽእል እዩ።,medical,['It may not be too late to get protection by getting vaccinated.'],['ብምኽታብ መከላኸሊ ንምርካብ ብጣዕሚ ደንጉዩ ዘይክኸውን ይኽእል እዩ።'],12,8
36,Ask your child’s doctor.,ንሓኪም ውላድኩም ሕተቱ።,medical,['Ask your child’s doctor.'],['ንሓኪም ውላድኩም ሕተቱ።'],4,3
37,"If there are cases (or, in some circumstances, a single case) of a vaccine-preventable disease in your community, you may be asked to take your child out of school, childcare or organized activities (for example, playgroups or sports).",ኣብ ማሕበረሰብኩም ክታበት ክከላኸሎ ዝኽእል ሕማም ዘለዎም ሰባት (ወይ ኣብ ገለ ኩነታት ሓደ ተርእዮ) እንተሃልዮም፣ ንውላድኩም ካብ ቤት ትምህርቲ፣ ክንክን ህጻናት ወይ ዝተወደበ ንጥፈታት (ንኣብነት፣ ጉጅለታት ጸወታ ወይ ስፖርት) ከተውጽእዎ ክትሕተቱ ትኽእሉ ኢኹም።,medical,"['If there are cases (or, in some circumstances, a single case) of a vaccine-preventable disease in your community, you may be asked to take your child out of school, childcare or organized activities (for example, playgroups or sports).']",['ኣብ ማሕበረሰብኩም ክታበት ክከላኸሎ ዝኽእል ሕማም ዘለዎም ሰባት (ወይ ኣብ ገለ ኩነታት ሓደ ተርእዮ) እንተሃልዮም፣ ንውላድኩም ካብ ቤት ትምህርቲ፣ ክንክን ህጻናት ወይ ዝተወደበ ንጥፈታት (ንኣብነት፣ ጉጅለታት ጸወታ ወይ ስፖርት) ከተውጽእዎ ክትሕተቱ ትኽእሉ ኢኹም።'],38,33
38,"Your school, childcare facility or other institution will tell you when it is safe for an unvaccinated child to re- turn.",ቤት ትምህርትኹም፣ መዕበዪ ህጻናት ወይ ካልእ ትካልኩም፣ ዘይተኸተበ ህጻን መዓስ ክምለስ ውሑስ ምዃኑ ክነግረኩም እዩ።,medical,"['Your school, childcare facility or other institution will tell you when it is safe for an unvaccinated child to re- turn.']",['ቤት ትምህርትኹም፣ መዕበዪ ህጻናት ወይ ካልእ ትካልኩም፣ ዘይተኸተበ ህጻን መዓስ ክምለስ ውሑስ ምዃኑ ክነግረኩም እዩ።'],21,15
39,Be prepared to keep your child home for several days or up to several weeks.,ንውላድኩም ንብዙሓት መዓልታት ወይ ክሳብ ብዙሓት ሰሙናት ኣብ ገዛ ክተጽንሕዎ ድሉው ኩኑ።,medical,['Be prepared to keep your child home for several days or up to several weeks.'],['ንውላድኩም ንብዙሓት መዓልታት ወይ ክሳብ ብዙሓት ሰሙናት ኣብ ገዛ ክተጽንሕዎ ድሉው ኩኑ።'],15,12
40,Learn about the disease and how it is spread.,ብዛዕባ እቲ ሕማምን ብኸመይ ከም ዝላባዕን ፍለጡ።,medical,['Learn about the disease and how it is spread.'],['ብዛዕባ እቲ ሕማምን ብኸመይ ከም ዝላባዕን ፍለጡ።'],9,7
41,It may not be possible to avoid exposure.,ካብ ምቅላዕ ምውጋድ ዘይከኣል ክኸውን ይኽእል እዩ።,medical,['It may not be possible to avoid exposure.'],['ካብ ምቅላዕ ምውጋድ ዘይከኣል ክኸውን ይኽእል እዩ።'],8,7
42,"Each disease is different, and the time between when your child might have been exposed to a disease and when he or she may get sick will vary.",ነፍሲ ወከፍ ሕማም ዝተፈለየ እዩ፣ ውላድኩም ንሓደ ሕማም ተቓሊዑ ክኸውን ዝኽእል ግዜን ክሓምም ዝኽእል ወይ ክትሓምም ትኽእል ግዜን ድማ ይፈላለ እዩ።,medical,"['Each disease is different, and the time between when your child might have been exposed to a disease and when he or she may get sick will vary.']",['ነፍሲ ወከፍ ሕማም ዝተፈለየ እዩ፣ ውላድኩም ንሓደ ሕማም ተቓሊዑ ክኸውን ዝኽእል ግዜን ክሓምም ዝኽእል ወይ ክትሓምም ትኽእል ግዜን ድማ ይፈላለ እዩ።'],28,21
43,Talk with your child’s doctor to get their guidelines for determining when your child is no longer at risk of coming down with the disease.,ውላድኩም ድሕሪ ሕጂ በቲ ሕማም ናይ ምትሓዝ ሓደጋ ምስ ዘይህልዎ ንምውሳን ዝሕግዙ መምርሒታቶም ንምርካብ ምስ ሓኪም ውላድኩም ተዘራረቡ።,medical,['Talk with your child’s doctor to get their guidelines for determining when your child is no longer at risk of coming down with the disease.'],['ውላድኩም ድሕሪ ሕጂ በቲ ሕማም ናይ ምትሓዝ ሓደጋ ምስ ዘይህልዎ ንምውሳን ዝሕግዙ መምርሒታቶም ንምርካብ ምስ ሓኪም ውላድኩም ተዘራረቡ።'],25,18
45,Any vaccine-preventable disease can appear at any time in the European Region because all of these diseases still circulate either here or elsewhere in the world.,ዝኾነ ክታበት ክከላኸሎ ዝኽእል ሕማም ኣብ ዞባ ኤውሮጳ ኣብ ዝኾነ እዋን ክረአ ይኽእል እዩ፣ ምኽንያቱ ኩሎም እዞም ሕማማት ክሳብ ሕጂ ኣብዚ ወይ ኣብ ካልእ ቦታታት ዓለም ይዘዋወሩ ስለዘለው።,medical,['Any vaccine-preventable disease can appear at any time in the European Region because all of these diseases still circulate either here or elsewhere in the world.'],['ዝኾነ ክታበት ክከላኸሎ ዝኽእል ሕማም ኣብ ዞባ ኤውሮጳ ኣብ ዝኾነ እዋን ክረአ ይኽእል እዩ፣ ምኽንያቱ ኩሎም እዞም ሕማማት ክሳብ ሕጂ ኣብዚ ወይ ኣብ ካልእ ቦታታት ዓለም ይዘዋወሩ ስለዘለው።'],26,28
46,"Sometimes vaccine-preventable diseases cause clusters of cases and outbreaks, i.e. an increased number of cases in a given time and area.",ሓደ ሓደ ግዜ ብክታበት ክኽልከሉ ዝኽእሉ ሕማማት ምትእኽኻብ ሕሙማትን ለበዳታትን የስዕቡ፣ ማለት ኣብ ዝተወሰነ ግዜን ከባቢን ቁጽሪ ሕሙማት ይውስኽ።,medical,"['Sometimes vaccine-preventable diseases cause clusters of cases and outbreaks, i.e', 'an increased number of cases in a given time and area.']",['ሓደ ሓደ ግዜ ብክታበት ክኽልከሉ ዝኽእሉ ሕማማት ምትእኽኻብ ሕሙማትን ለበዳታትን የስዕቡ፣ ማለት ኣብ ዝተወሰነ ግዜን ከባቢን ቁጽሪ ሕሙማት ይውስኽ።'],21,19
47,"For some diseases, one case is enough to cause concern in a community.",ንገለ ሕማማት፣ ሓደ ተርእዮ ኣብ ሓደ ሕብረተሰብ ሻቕሎት ንምፍጣር እኹል እዩ።,medical,"['For some diseases, one case is enough to cause concern in a community.']",['ንገለ ሕማማት፣ ሓደ ተርእዮ ኣብ ሓደ ሕብረተሰብ ሻቕሎት ንምፍጣር እኹል እዩ።'],13,11
48,"An example is measles, which is one of the most contagious diseases known.",ኣብነት ናይዚ ሕማም ንፍዮ ኮይኑ፣ ሓደ ካብቶም ብዝለዓለ ደረጃ ዝፍለጡ ተላባዕቲ ሕማማት እዩ።,medical,"['An example is measles, which is one of the most contagious diseases known.']",['ኣብነት ናይዚ ሕማም ንፍዮ ኮይኑ፣ ሓደ ካብቶም ብዝለዓለ ደረጃ ዝፍለጡ ተላባዕቲ ሕማማት እዩ።'],13,13
49,This disease spreads quickly among people who are not immune.,እዚ ሕማም እዚ ኣብቶም ናይ ምክልኻል ዓቕሚ ዘይብሎም ሰባት ብቕልጡፍ ይላባዕ።,medical,['This disease spreads quickly among people who are not immune.'],['እዚ ሕማም እዚ ኣብቶም ናይ ምክልኻል ዓቕሚ ዘይብሎም ሰባት ብቕልጡፍ ይላባዕ።'],10,11
50,"In most cases, there is no way to know beforehand how severe diseases will be in your child.",ኣብ መብዛሕትኡ ኣጋጣሚታት፣ እቲ ሕማም ኣብ ውላድኩም ክሳብ ክንደይ ከቢድ ከምዝኸውን ኣቐዲምካ ንምፍላጥ ዝሕግዝ ኣገባብ የለን።,medical,"['In most cases, there is no way to know beforehand how severe diseases will be in your child.']",['ኣብ መብዛሕትኡ ኣጋጣሚታት፣ እቲ ሕማም ኣብ ውላድኩም ክሳብ ክንደይ ከቢድ ከምዝኸውን ኣቐዲምካ ንምፍላጥ ዝሕግዝ ኣገባብ የለን።'],18,16
51,"Learn more by asking your health care provider for the sheet titled “Vaccine- preventable diseases: signs, symptoms & complications”",ንወሃቢ ክንክን ጥዕናኹም “ብክታበት ክኽልከሉ ዝኽእሉ ሕማማት፦ ምልክታት፣ ምልክታትን ጸገማትን” ዝብል ኣርእስቲ ዘለዎ ወረቐት ብምሕታት ዝያዳ ፍለጡ።,medical,"['Learn more by asking your health care provider for the sheet titled “Vaccine- preventable diseases: signs, symptoms & complications”']",['ንወሃቢ ክንክን ጥዕናኹም “ብክታበት ክኽልከሉ ዝኽእሉ ሕማማት፦ ምልክታት፣ ምልክታትን ጸገማትን” ዝብል ኣርእስቲ ዘለዎ ወረቐት ብምሕታት ዝያዳ ፍለጡ።'],19,17
53,If you know your child is exposed to a vaccine-preventable disease for which he or she has not been vaccinated,ውላድኩም ብክታበት ክከላኸሎ ዝኽእል ሕማም ከም ዝተቓልዐ እንተፈሊጥኩም፣ ማለት እውን ክታበት ዘይተገበረሉ ወይ ዘይተገበረላ,medical,['If you know your child is exposed to a vaccine-preventable disease for which he or she has not been vaccinated'],['ውላድኩም ብክታበት ክከላኸሎ ዝኽእል ሕማም ከም ዝተቓልዐ እንተፈሊጥኩም፣ ማለት እውን ክታበት ዘይተገበረሉ ወይ ዘይተገበረላ'],20,14
54,Learn the early signs and symptoms of the disease.,ናይ መጀመርታ ምልክታትን ምልክታት ናይቲ ሕማምን ፍለጡ።,medical,['Learn the early signs and symptoms of the disease.'],['ናይ መጀመርታ ምልክታትን ምልክታት ናይቲ ሕማምን ፍለጡ።'],9,7
55,Seek immediate medical help if your child or any family members develop early signs or symptoms of the disease.,ውላድኩም ወይ ዝኾነ ኣባል ስድራቤትኩም ናይ መጀመርታ ምልክታት ወይ ምልክታት ናይ'ቲ ሕማም እንተድኣ ኣርእዩኩም ቅልጡፍ ሕክምናዊ ሓገዝ ድለዩ።,medical,['Seek immediate medical help if your child or any family members develop early signs or symptoms of the disease.'],"[""ውላድኩም ወይ ዝኾነ ኣባል ስድራቤትኩም ናይ መጀመርታ ምልክታት ወይ ምልክታት ናይ'ቲ ሕማም እንተድኣ ኣርእዩኩም ቅልጡፍ ሕክምናዊ ሓገዝ ድለዩ።""]",19,18
57,"Notify your doctor, local medical facility, ambulance or emergency room personnel that your child has not been fully vaccinated before medical staff have contact with your child or your family members.",ሰራሕተኛታት ሕክምና ምስ ውላድኩም ወይ ኣባላት ስድራቤትኩም ቅድሚ ርክብ ምግባሮም፣ ንሓኪምኩም፣ ኣብ ከባቢኹም ዝርከብ ትካል ሕክምና፣ ኣምቡላንስ ወይ ሰራሕተኛታት ክፍሊ ህጹጽ ረድኤት ውላድኩም ምሉእ ብምሉእ ከምዘይተኸተበ ኣፍልጡ።,medical,"['Notify your doctor, local medical facility, ambulance or emergency room personnel that your child has not been fully vaccinated before medical staff have contact with your child or your family members.']",['ሰራሕተኛታት ሕክምና ምስ ውላድኩም ወይ ኣባላት ስድራቤትኩም ቅድሚ ርክብ ምግባሮም፣ ንሓኪምኩም፣ ኣብ ከባቢኹም ዝርከብ ትካል ሕክምና፣ ኣምቡላንስ ወይ ሰራሕተኛታት ክፍሊ ህጹጽ ረድኤት ውላድኩም ምሉእ ብምሉእ ከምዘይተኸተበ ኣፍልጡ።'],31,27
